time,assetName,headline,headlinePast1,headlinePast2,headlinePast3
2007-01-02,Apple Inc,PRESS DIGEST - Washington Post Business - Dec 29,REG-Allied Irish Banks <ALBK.L> <ALBK.I> Treasury Stock REG-Allied Irish Banks <ALBK.L> <ALBK.I> Voting Rights and Capital,Adobe Appoints Former Borland Exec to Senior VP of Worldwide Field Operations <ADBE.O>,"Taiwan stocks - Factors to watch AU, Chi Mei to delay LCD output at new plants -paper"
2007-01-01,BHP Billiton Ltd,PRESS DIGEST-Australian Business News - Jan 2,PRESS DIGEST - Washington Post Business - Dec 29,REG-Allied Irish Banks <ALBK.L> <ALBK.I> Treasury Stock REG-Allied Irish Banks <ALBK.L> <ALBK.I> Voting Rights and Capital,Adobe Appoints Former Borland Exec to Senior VP of Worldwide Field Operations <ADBE.O>
2007-01-02,Banco Santander SA,Italian Stocks - Factors to watch on Jan 2 RPT-Italian Stocks - Factors to watch on Jan 2 European stocks -- Factors to watch on Jan 2 European stocks -- Factors to watch on Jan 2 Italian Stocks - Factors to watch on Jan 2 REG-Banco Sntndr Central <SAN.MC> <SANq.L> Disposal,PRESS DIGEST-Australian Business News - Jan 2,PRESS DIGEST - Washington Post Business - Dec 29,REG-Allied Irish Banks <ALBK.L> <ALBK.I> Treasury Stock REG-Allied Irish Banks <ALBK.L> <ALBK.I> Voting Rights and Capital
2007-01-02,China Mobile Ltd,TABLE-HK short selling turnover HK$1.18 bln by lunch TABLE-HK short selling turnover HK$1.18 bln by lunch,Italian Stocks - Factors to watch on Jan 2 RPT-Italian Stocks - Factors to watch on Jan 2 European stocks -- Factors to watch on Jan 2 European stocks -- Factors to watch on Jan 2 Italian Stocks - Factors to watch on Jan 2 REG-Banco Sntndr Central <SAN.MC> <SANq.L> Disposal,PRESS DIGEST-Australian Business News - Jan 2,PRESS DIGEST - Washington Post Business - Dec 29
2007-01-01,Citigroup Inc,BNP Paribas top 2006 M&A adviser in France -survey,TABLE-HK short selling turnover HK$1.18 bln by lunch TABLE-HK short selling turnover HK$1.18 bln by lunch,Italian Stocks - Factors to watch on Jan 2 RPT-Italian Stocks - Factors to watch on Jan 2 European stocks -- Factors to watch on Jan 2 European stocks -- Factors to watch on Jan 2 Italian Stocks - Factors to watch on Jan 2 REG-Banco Sntndr Central <SAN.MC> <SANq.L> Disposal,PRESS DIGEST-Australian Business News - Jan 2
2007-01-02,Companhia Siderurgica Nacional,Benelux stocks - Factors to watch on Jan 2 Benelux stocks - Factors to watch on Jan 2,BNP Paribas top 2006 M&A adviser in France -survey,TABLE-HK short selling turnover HK$1.18 bln by lunch TABLE-HK short selling turnover HK$1.18 bln by lunch,Italian Stocks - Factors to watch on Jan 2 RPT-Italian Stocks - Factors to watch on Jan 2 European stocks -- Factors to watch on Jan 2 European stocks -- Factors to watch on Jan 2 Italian Stocks - Factors to watch on Jan 2 REG-Banco Sntndr Central <SAN.MC> <SANq.L> Disposal
2007-01-01,Constellation Brands Inc,RPT-Wall St Week Ahead: Mild jobs may lift stocks as '07 starts,Benelux stocks - Factors to watch on Jan 2 Benelux stocks - Factors to watch on Jan 2,BNP Paribas top 2006 M&A adviser in France -survey,TABLE-HK short selling turnover HK$1.18 bln by lunch TABLE-HK short selling turnover HK$1.18 bln by lunch
2007-01-02,Corus Group Ltd,Benelux stocks - Factors to watch on Jan 2 Benelux stocks - Factors to watch on Jan 2 European stocks -- Factors to watch on Jan 2 European stocks -- Factors to watch on Jan 2,RPT-Wall St Week Ahead: Mild jobs may lift stocks as '07 starts,Benelux stocks - Factors to watch on Jan 2 Benelux stocks - Factors to watch on Jan 2,BNP Paribas top 2006 M&A adviser in France -survey
2007-01-01,Cyren Ltd,Commtouch Reports: ''Happy New Year!'' Virus Ends 2006 with a Blast <CTCH.O>,Benelux stocks - Factors to watch on Jan 2 Benelux stocks - Factors to watch on Jan 2 European stocks -- Factors to watch on Jan 2 European stocks -- Factors to watch on Jan 2,RPT-Wall St Week Ahead: Mild jobs may lift stocks as '07 starts,Benelux stocks - Factors to watch on Jan 2 Benelux stocks - Factors to watch on Jan 2
2007-01-02,Daimler AG,"China's Chery 2006 exports up 178 pct to 50,000-report",Commtouch Reports: ''Happy New Year!'' Virus Ends 2006 with a Blast <CTCH.O>,Benelux stocks - Factors to watch on Jan 2 Benelux stocks - Factors to watch on Jan 2 European stocks -- Factors to watch on Jan 2 European stocks -- Factors to watch on Jan 2,RPT-Wall St Week Ahead: Mild jobs may lift stocks as '07 starts
